surface,count,year_counts,context_count,first_context
inhumane,1,"{""2022"": 1}",1,To pressure zoos to spend less on their animals would lead to inhumane outcomes for the precious creatures in their care.
precious,1,"{""2022"": 1}",1,To pressure zoos to spend less on their animals would lead to inhumane outcomes for the precious creatures in their care.
deserve,1,"{""2022"": 1}",1,"While animals in captivity deserve sympathy, zoos play a significant role in starting young people down the path of related sciences."
sympathy,1,"{""2022"": 1}",1,"While animals in captivity deserve sympathy, zoos play a significant role in starting young people down the path of related sciences."
trips,1,"{""2022"": 1}",1,Zoos save people trips to wilderness areas and thus contribute to wildlife conservation.
prioritize,1,"{""2022"": 1}",1,Zoos should have been closed down as they prioritize money making over animals' wellbeing.
distorts,1,"{""2022"": 1}",1,Marris distorts our findings which actually prove that zoos serve as an indispensable link between man and nature.
indispensable,1,"{""2022"": 1}",1,Marris distorts our findings which actually prove that zoos serve as an indispensable link between man and nature.
lberian,1,"{""2022"": 1}",0,
comprising,1,"{""2022"": 1}",0,
portugal,1,"{""2022"": 1}",0,
scene,1,"{""2022"": 1}",0,
titanic,1,"{""2022"": 1}",0,
merciless,1,"{""2022"": 1}",0,
planes,1,"{""2022"": 1}",0,
napoleon's,1,"{""2022"": 1}",0,
angry,1,"{""2022"": 1}",0,
inhabitants,1,"{""2022"": 1}",0,
exacerbate,1,"{""2022"": 1}",0,
emperor's,1,"{""2022"": 1}",0,
marshals,1,"{""2022"": 1}",0,
sent,1,"{""2022"": 1}",0,
check,1,"{""2022"": 1}",0,
meritocracy,1,"{""2022"": 1}",0,
conservatism,1,"{""2022"": 1}",0,
cryptographic,1,"{""2022"": 1}",0,
charles,1,"{""2022"": 1}",0,
epic,1,"{""2022"": 1}",0,
peninsular,1,"{""2022"": 1}",0,
ciphers,1,"{""2022"": 1}",0,
listed,1,"{""2022"": 1}",1,"It listed many documents in code that had been captured from the French army of Spain, and whose secrets had been revealed by the work of one George Scovell, an officer in British headquarters."
secrets,1,"{""2022"": 1}",1,"It listed many documents in code that had been captured from the French army of Spain, and whose secrets had been revealed by the work of one George Scovell, an officer in British headquarters."
george,1,"{""2022"": 1}",1,"It listed many documents in code that had been captured from the French army of Spain, and whose secrets had been revealed by the work of one George Scovell, an officer in British headquarters."
oman,1,"{""2022"": 1}",0,
rated,1,"{""2022"": 1}",0,
obscure,1,"{""2022"": 1}",0,
contributed,1,"{""2022"": 1}",0,
himself,1,"{""2022"": 1}",0,
secret,1,"{""2022"": 1}",0,
enigma,1,"{""2022"": 1}",1,I became convinced that this story was every bit as exciting and significant as that of Enigma and the breaking of German codes in the Second World War.
studying,1,"{""2022"": 1}",0,
copious,1,"{""2022"": 1}",0,
dispatches,1,"{""2022"": 1}",1,"What was more, many original French dispatches had been preserved in this collection, which I realized was priceless."
realized,1,"{""2022"": 1}",1,"What was more, many original French dispatches had been preserved in this collection, which I realized was priceless."
spies,1,"{""2022"": 1}",1,"There may have been many spies and intelligence officers during the Napoleonic Wars, but it is usually extremely difficult to find the material they actually provided or worked on."
officers,1,"{""2022"": 1}",1,"There may have been many spies and intelligence officers during the Napoleonic Wars, but it is usually extremely difficult to find the material they actually provided or worked on."
researched,1,"{""2022"": 1}",0,
lord,1,"{""2022"": 1}",0,
wellington's,1,"{""2022"": 1}",0,
recognition,1,"{""2022"": 1}",0,
tale,1,"{""2022"": 1}",1,"His tale of self-improvement and hard work would make a fascinating biography in its own right, but represents something more than that."
self-improvement,1,"{""2022"": 1}",1,"His tale of self-improvement and hard work would make a fascinating biography in its own right, but represents something more than that."
biography,1,"{""2022"": 1}",1,"His tale of self-improvement and hard work would make a fascinating biography in its own right, but represents something more than that."
relevance,1,"{""2022"": 1}",1,"Just as the code breaking has its wider relevance in the struggle for Spain, so his attempts to make his way up the promotion ladder speak volumes about British society."
promotion,1,"{""2022"": 1}",1,"Just as the code breaking has its wider relevance in the struggle for Spain, so his attempts to make his way up the promotion ladder speak volumes about British society."
ladder,1,"{""2022"": 1}",1,"Just as the code breaking has its wider relevance in the struggle for Spain, so his attempts to make his way up the promotion ladder speak volumes about British society."
inviting,1,"{""2022"": 1}",0,
organize,1,"{""2022"": 1}",0,
roadside,1,"{""2023"": 1}",0,
inns,1,"{""2023"": 1}",0,
walls,1,"{""2023"": 1}",1,They were typically located outside the walls of a city or village and were usually funded by local governments or privately.
caravanserai,1,"{""2023"": 1}",1,"The word caravanserai is a combination of the Persian words karvan, which means a group of travellers or a caravan, and sardy, a palace or enclosed building."
persian,1,"{""2023"": 1}",1,"The word caravanserai is a combination of the Persian words karvan, which means a group of travellers or a caravan, and sardy, a palace or enclosed building."
karvan,1,"{""2023"": 1}",1,"The word caravanserai is a combination of the Persian words karvan, which means a group of travellers or a caravan, and sardy, a palace or enclosed building."
sardy,1,"{""2023"": 1}",1,"The word caravanserai is a combination of the Persian words karvan, which means a group of travellers or a caravan, and sardy, a palace or enclosed building."
palace,1,"{""2023"": 1}",1,"The word caravanserai is a combination of the Persian words karvan, which means a group of travellers or a caravan, and sardy, a palace or enclosed building."
enclosed,1,"{""2023"": 1}",1,"The word caravanserai is a combination of the Persian words karvan, which means a group of travellers or a caravan, and sardy, a palace or enclosed building."
safety,1,"{""2023"": 1}",1,"The term caravan was used to describe groups of people who travelled together across the ancient network for safety reasons, such as merchants, travellers or pilgrims."
pilgrims,1,"{""2023"": 1}",1,"The term caravan was used to describe groups of people who travelled together across the ancient network for safety reasons, such as merchants, travellers or pilgrims."
onwards,1,"{""2023"": 1}",1,"From the 10th century onwards, as merchant and travel routes became more developed, the construction of caravanserais increased and they served as a safe place for people to rest at night."
merchant,1,"{""2023"": 1}",1,"From the 10th century onwards, as merchant and travel routes became more developed, the construction of caravanserais increased and they served as a safe place for people to rest at night."
attacked,1,"{""2023"": 1}",1,Travellers on the Silk Road faced the possibility of being attacked by thieves or being subjected to extreme weather conditions.
thieves,1,"{""2023"": 1}",1,Travellers on the Silk Road faced the possibility of being attacked by thieves or being subjected to extreme weather conditions.
strategically,1,"{""2023"": 1}",0,
informal,1,"{""2023"": 1}",1,Caravanserais served as an informal meeting point for the various people who travelled the Silk Road.
various,1,"{""2023"": 1}",1,Caravanserais served as an informal meeting point for the various people who travelled the Silk Road.
marketplace,1,"{""2023"": 1}",1,Caravanserais were also an important marketplace for commodities and aided in the trade of goods along the Silk Road.
commodities,1,"{""2023"": 1}",1,Caravanserais were also an important marketplace for commodities and aided in the trade of goods along the Silk Road.
sell,1,"{""2023"": 1}",1,"Indeed, it was frequently the first stop for merchants looking to sell their wares and stock up on supplies for their own journeys."
wares,1,"{""2023"": 1}",1,"Indeed, it was frequently the first stop for merchants looking to sell their wares and stock up on supplies for their own journeys."
supplies,1,"{""2023"": 1}",1,"Indeed, it was frequently the first stop for merchants looking to sell their wares and stock up on supplies for their own journeys."
journeys,1,"{""2023"": 1}",1,"Indeed, it was frequently the first stop for merchants looking to sell their wares and stock up on supplies for their own journeys."
equipped,1,"{""2023"": 1}",0,
privately,1,"{""2023"": 1}",1,They were typically located outside the walls of a city or village and were usually funded by local governments or privately.
respectively,1,"{""2023"": 1}",0,
permanently,1,"{""2023"": 1}",0,
transition,1,"{""2023"": 1}",0,
substitution,1,"{""2023"": 1}",0,
classify,1,"{""2023"": 1}",0,
connect,1,"{""2023"": 1}",0,
evaluation,1,"{""2023"": 1}",0,
accustomed,1,"{""2023"": 1}",0,
revival,1,"{""2023"": 1}",0,
regard,1,"{""2023"": 1}",0,
influencing,1,"{""2023"": 1}",1,"As a result, these structures became important centres for cultural exchange and interaction, with travellers sharing their cultures, ideas and beliefs, as well as taking knowledge with them, greatly influencing the development of several civilisations."
resuming,1,"{""2023"": 1}",0,
pioneering,1,"{""2023"": 1}",0,
invested,1,"{""2023"": 1}",0,
competed,1,"{""2023"": 1}",0,
ruins,1,"{""2023"": 1}",1,"It is believed that around 12,000 to 15,000 caravanserais were built along the Silk Road, although only about 3,000 are known to remain today, many of which are in ruins."
debt,1,"{""2023"": 1}",0,
fashion,1,"{""2023"": 1}",0,
cooled,1,"{""2023"": 1}",0,
temperature,1,"{""2023"": 1}",0,
austin,1,"{""2023"": 1}",0,
pat,1,"{""2023"": 1}",0,
sympathises,1,"{""2023"": 1}",0,
resisting,1,"{""2023"": 1}",0,
pre-teen,1,"{""2023"": 1}",1,changes to science standards for pre-teen pupils.
recognise,1,"{""2023"": 1}",1,Texas is an energy state and we need to recognise that.
buttered,1,"{""2023"": 1}",1,You need to remember where your bread is buttered.
sharply,1,"{""2023"": 1}",0,
hardy's,1,"{""2023"": 1}",0,
casually,1,"{""2023"": 1}",1,"Board members like her casually dismiss the career work of scholars and scientists as just another misguided opinion, says Dan Quinn, senior communications strategist at the Texas Freedom Network, a non-profit group that monitors public education."
dismiss,1,"{""2023"": 1}",1,"Board members like her casually dismiss the career work of scholars and scientists as just another misguided opinion, says Dan Quinn, senior communications strategist at the Texas Freedom Network, a non-profit group that monitors public education."
dan,1,"{""2023"": 1}",1,"Board members like her casually dismiss the career work of scholars and scientists as just another misguided opinion, says Dan Quinn, senior communications strategist at the Texas Freedom Network, a non-profit group that monitors public education."
senior,1,"{""2023"": 1}",1,"Board members like her casually dismiss the career work of scholars and scientists as just another misguided opinion, says Dan Quinn, senior communications strategist at the Texas Freedom Network, a non-profit group that monitors public education."
strategist,1,"{""2023"": 1}",1,"Board members like her casually dismiss the career work of scholars and scientists as just another misguided opinion, says Dan Quinn, senior communications strategist at the Texas Freedom Network, a non-profit group that monitors public education."
monitors,1,"{""2023"": 1}",1,"Board members like her casually dismiss the career work of scholars and scientists as just another misguided opinion, says Dan Quinn, senior communications strategist at the Texas Freedom Network, a non-profit group that monitors public education."
discussions,1,"{""2023"": 1}",1,"Such debates reflect fierce discussions across the US, as researchers, policymakers, teachers and students step up demands for a greater focus on teaching about the facts of climate change in schools."
step,1,"{""2023"": 1}",1,"Such debates reflect fierce discussions across the US, as researchers, policymakers, teachers and students step up demands for a greater focus on teaching about the facts of climate change in schools."
barely,1,"{""2023"": 1}",0,
populous,1,"{""2023"": 1}",0,
lowest,1,"{""2023"": 1}",0,
disproportionate,1,"{""2023"": 1}",0,
sold,1,"{""2023"": 1}",0,
glenn,1,"{""2023"": 1}",0,
centre's,1,"{""2023"": 1}",0,
deputy,1,"{""2023"": 1}",0,
cautions,1,"{""2023"": 1}",0,
benchmark,1,"{""2023"": 1}",0,
decentralises,1,"{""2023"": 1}",0,
performer,1,"{""2023"": 1}",1,"Even if a state is considered a high performer in its science standards, that does not mean it will be taught, he says."
integrated,1,"{""2023"": 1}",1,"Another issue is that while climate change is well integrated into some subjects and at some ages—such as earth and space sciences in high schools—it is not as well represented in curricula for younger children and in subjects that are more widely taught, such as biology and chemistry."
curricula,1,"{""2023"": 1}",1,"Another issue is that while climate change is well integrated into some subjects and at some ages—such as earth and space sciences in high schools—it is not as well represented in curricula for younger children and in subjects that are more widely taught, such as biology and chemistry."
chemistry,1,"{""2023"": 1}",1,"Another issue is that while climate change is well integrated into some subjects and at some ages—such as earth and space sciences in high schools—it is not as well represented in curricula for younger children and in subjects that are more widely taught, such as biology and chemistry."
courses,1,"{""2023"": 1}",1,It is also less prominent in many social studies courses.
guidelines,1,"{""2023"": 1}",1,"Branch points out that, even if a growing number of official guidelines and textbooks reflect scientific consensus on climate change, unofficial educational materials that convey more slanted perspectives are being distributed to teachers."
unofficial,1,"{""2023"": 1}",1,"Branch points out that, even if a growing number of official guidelines and textbooks reflect scientific consensus on climate change, unofficial educational materials that convey more slanted perspectives are being distributed to teachers."
slanted,1,"{""2023"": 1}",1,"Branch points out that, even if a growing number of official guidelines and textbooks reflect scientific consensus on climate change, unofficial educational materials that convey more slanted perspectives are being distributed to teachers."
perspectives,1,"{""2023"": 1}",1,"Branch points out that, even if a growing number of official guidelines and textbooks reflect scientific consensus on climate change, unofficial educational materials that convey more slanted perspectives are being distributed to teachers."
associations,1,"{""2023"": 1}",1,They include materials sponsored by energy industry associations.
forecast,1,"{""2023"": 1}",0,
draw,1,"{""2023"": 1}",0,
public's,1,"{""2023"": 1}",0,
shortages,1,"{""2023"": 1}",0,
exaggerates,1,"{""2023"": 1}",0,
denies,1,"{""2023"": 1}",0,
pre-teens,1,"{""2023"": 1}",0,
expresses,1,"{""2023"": 1}",0,
self-contradictory,1,"{""2023"": 1}",0,
lacks,1,"{""2023"": 1}",0,
revision,1,"{""2023"": 1}",0,
agrees,1,"{""2023"": 1}",0,
misrepresent,1,"{""2023"": 1}",0,
swayed,1,"{""2023"": 1}",0,
attempting,1,"{""2023"": 1}",0,
airbnb,1,"{""2023"": 1}",0,
record-high,1,"{""2023"": 1}",0,
historically,1,"{""2023"": 1}",0,
inventory,1,"{""2023"": 1}",0,
swaths,1,"{""2023"": 1}",0,
flip,1,"{""2023"": 1}",0,
fortune,1,"{""2023"": 1}",0,
dropped,1,"{""2023"": 1}",1,"In New Hampshire, where the rental vacancy rate has dropped below 1 percent, housing advocates fear unchecked short-term rentals will put further pressure on an already strained market."
fear,1,"{""2023"": 1}",1,"In New Hampshire, where the rental vacancy rate has dropped below 1 percent, housing advocates fear unchecked short-term rentals will put further pressure on an already strained market."
unchecked,1,"{""2023"": 1}",1,"In New Hampshire, where the rental vacancy rate has dropped below 1 percent, housing advocates fear unchecked short-term rentals will put further pressure on an already strained market."
strained,1,"{""2023"": 1}",1,"In New Hampshire, where the rental vacancy rate has dropped below 1 percent, housing advocates fear unchecked short-term rentals will put further pressure on an already strained market."
legislature,1,"{""2023"": 1}",1,The state Legislature recently voted against a bill that would've made it illegal for towns to create legislation restricting short-term rentals.
would've,1,"{""2023"": 1}",1,The state Legislature recently voted against a bill that would've made it illegal for towns to create legislation restricting short-term rentals.
restricting,1,"{""2023"": 1}",1,The state Legislature recently voted against a bill that would've made it illegal for towns to create legislation restricting short-term rentals.
nick,1,"{""2023"": 1}",1,"We are at a crisis level on the supply of rental housing, said Nick Taylor, executive director of the Workforce Housing Coalition of the Greater Seacoast."
seacoast,1,"{""2023"": 1}",1,"We are at a crisis level on the supply of rental housing, said Nick Taylor, executive director of the Workforce Housing Coalition of the Greater Seacoast."
tourists,1,"{""2023"": 1}",1,"However, short-term rentals also provide housing for tourists, pointed out Ryan Castle, CEO of a local association of realtors."
ryan,1,"{""2023"": 1}",1,"However, short-term rentals also provide housing for tourists, pointed out Ryan Castle, CEO of a local association of realtors."
ceo,1,"{""2023"": 1}",1,"However, short-term rentals also provide housing for tourists, pointed out Ryan Castle, CEO of a local association of realtors."
realtors,1,"{""2023"": 1}",1,"However, short-term rentals also provide housing for tourists, pointed out Ryan Castle, CEO of a local association of realtors."
servicing,1,"{""2023"": 1}",0,
tourist,1,"{""2023"": 1}",0,
serviced,1,"{""2023"": 1}",0,
cyclical,1,"{""2023"": 1}",0,
crux,1,"{""2023"": 1}",1,"Short-term rentals themselves are not the crux of the issue, said Keren Hom, an expert on affordable housing policy."
keren,1,"{""2023"": 1}",1,"Short-term rentals themselves are not the crux of the issue, said Keren Hom, an expert on affordable housing policy."
expert,1,"{""2023"": 1}",1,"Short-term rentals themselves are not the crux of the issue, said Keren Hom, an expert on affordable housing policy."
rent,1,"{""2023"": 1}",1,I think individuals being able to rent out their second home is a good thing.
vacation,1,"{""2023"": 1}",0,
empty,1,"{""2023"": 1}",0,
arise,1,"{""2023"": 1}",1,"Issues arise, however, when developers attempt to create large-scale short-term rental facilities—de facto hotels—to bypass taxes and regulations."
facto,1,"{""2023"": 1}",1,"Issues arise, however, when developers attempt to create large-scale short-term rental facilities—de facto hotels—to bypass taxes and regulations."
hotels,1,"{""2023"": 1}",1,"Issues arise, however, when developers attempt to create large-scale short-term rental facilities—de facto hotels—to bypass taxes and regulations."
bypass,1,"{""2023"": 1}",1,"Issues arise, however, when developers attempt to create large-scale short-term rental facilities—de facto hotels—to bypass taxes and regulations."
shouldn't,1,"{""2023"": 1}",0,
developer,1,"{""2023"": 1}",0,
disguising,1,"{""2023"": 1}",0,
treated,1,"{""2023"": 1}",0,
taxed,1,"{""2023"": 1}",0,
baker,1,"{""2023"": 1}",1,"At the end of 2018, Governor Charlie Baker of Massachusetts signed a bill to rein in those potential investor-buyers."
rein,1,"{""2023"": 1}",1,"At the end of 2018, Governor Charlie Baker of Massachusetts signed a bill to rein in those potential investor-buyers."
investor-buyers,1,"{""2023"": 1}",1,"At the end of 2018, Governor Charlie Baker of Massachusetts signed a bill to rein in those potential investor-buyers."
opens,1,"{""2023"": 1}",1,"The bill requires every rental host to register with the state, mandates they carry insurance, and opens the potential for local taxes on top of a new state levy."
top,1,"{""2023"": 1}",1,"The bill requires every rental host to register with the state, mandates they carry insurance, and opens the potential for local taxes on top of a new state levy."
boston,1,"{""2023"": 1}",0,
renters,1,"{""2023"": 1}",0,
inspectional,1,"{""2023"": 1}",0,
struggling,1,"{""2023"": 1}",1,"Hom said similar registration requirements could benefit struggling cities and towns, but if we want to make a change in the housing market, the main one is we have to build a lot more."
speculation,1,"{""2023"": 1}",0,
dealings,1,"{""2023"": 1}",0,
estate,1,"{""2023"": 1}",0,
agents,1,"{""2023"": 1}",0,
emphasize,1,"{""2023"": 1}",0,
upgrade,1,"{""2023"": 1}",0,
evading,1,"{""2023"": 1}",0,
renting,1,"{""2023"": 1}",0,
houses,1,"{""2023"": 1}",0,
irrational,1,"{""2023"": 1}",0,
unfeasible,1,"{""2023"": 1}",0,
unnecessary,1,"{""2023"": 1}",0,
heading,1,"{""2023"": 1}",0,
retailer,1,"{""2023"": 1}",0,
duchess,1,"{""2023"": 1}",0,
sussex's,1,"{""2023"": 1}",0,
president's,1,"{""2023"": 1}",0,
thriller,1,"{""2023"": 1}",0,
clinton,1,"{""2023"": 1}",0,
patterson,1,"{""2023"": 1}",0,
penguin,1,"{""2023"": 1}",1,"Both of these books are published next week by Penguin Random House (PRH), a company currently involved in a stand-off with Waterstones."
stand-off,1,"{""2023"": 1}",1,"Both of these books are published next week by Penguin Random House (PRH), a company currently involved in a stand-off with Waterstones."
confirmed,1,"{""2023"": 1}",1,"The problem began late last year, when PRH confirmed that it had introduced a credit limit with Waterstones at a very significant level."
magazine,1,"{""2023"": 1}",1,"The trade magazine The Bookseller reported that Waterstones branch managers were being told to remove PRH books from prominent areas such as tables, display spaces and windows, and were quietly retiring them to their relevant sections."
bookseller,1,"{""2023"": 1}",1,"The trade magazine The Bookseller reported that Waterstones branch managers were being told to remove PRH books from prominent areas such as tables, display spaces and windows, and were quietly retiring them to their relevant sections."
tables,1,"{""2023"": 1}",1,"The trade magazine The Bookseller reported that Waterstones branch managers were being told to remove PRH books from prominent areas such as tables, display spaces and windows, and were quietly retiring them to their relevant sections."
spaces,1,"{""2023"": 1}",1,"The trade magazine The Bookseller reported that Waterstones branch managers were being told to remove PRH books from prominent areas such as tables, display spaces and windows, and were quietly retiring them to their relevant sections."
windows,1,"{""2023"": 1}",1,"The trade magazine The Bookseller reported that Waterstones branch managers were being told to remove PRH books from prominent areas such as tables, display spaces and windows, and were quietly retiring them to their relevant sections."
quietly,1,"{""2023"": 1}",1,"The trade magazine The Bookseller reported that Waterstones branch managers were being told to remove PRH books from prominent areas such as tables, display spaces and windows, and were quietly retiring them to their relevant sections."
declined,1,"{""2023"": 1}",1,"PRH declined to comment on the issue, but a spokesperson for Waterstones told me: Waterstones are currently operating with reduced credit terms from PRH, the only publisher in the UK to place any limitations on our ability to trade."
limitations,1,"{""2023"": 1}",1,"PRH declined to comment on the issue, but a spokesperson for Waterstones told me: Waterstones are currently operating with reduced credit terms from PRH, the only publisher in the UK to place any limitations on our ability to trade."
boycotting,1,"{""2023"": 1}",1,We are not boycotting PRH titles but we are doing our utmost to ensure that availability for customers remains good despite the lower overall levels of stock.
utmost,1,"{""2023"": 1}",1,We are not boycotting PRH titles but we are doing our utmost to ensure that availability for customers remains good despite the lower overall levels of stock.
normality,1,"{""2023"": 1}",1,We are hopeful with our shops now open again that normality will return and that we will be allowed to buy appropriately.
appropriately,1,"{""2023"": 1}",1,We are hopeful with our shops now open again that normality will return and that we will be allowed to buy appropriately.
exceptionally,1,"{""2023"": 1}",1,"Certainly, our shops are exceptionally busy."
normally,1,"{""2023"": 1}",0,
staff's,1,"{""2023"": 1}",0,
passion,1,"{""2023"": 1}",0,
promoting,1,"{""2023"": 1}",0,
praying,1,"{""2023"": 1}",0,
simon,1,"{""2023"": 1}",1,"It comes at a time when authors are already worried about the consequences of the proposed merger between PRH and another big publisher, Simon & Schuster—the reduction in the number of unaligned UK publishers is likely to lead to fewer bidding wars, lower advances, and more conformity in terms of what is published."
schuster,1,"{""2023"": 1}",1,"It comes at a time when authors are already worried about the consequences of the proposed merger between PRH and another big publisher, Simon & Schuster—the reduction in the number of unaligned UK publishers is likely to lead to fewer bidding wars, lower advances, and more conformity in terms of what is published."
unaligned,1,"{""2023"": 1}",1,"It comes at a time when authors are already worried about the consequences of the proposed merger between PRH and another big publisher, Simon & Schuster—the reduction in the number of unaligned UK publishers is likely to lead to fewer bidding wars, lower advances, and more conformity in terms of what is published."
bidding,1,"{""2023"": 1}",1,"It comes at a time when authors are already worried about the consequences of the proposed merger between PRH and another big publisher, Simon & Schuster—the reduction in the number of unaligned UK publishers is likely to lead to fewer bidding wars, lower advances, and more conformity in terms of what is published."
conformity,1,"{""2023"": 1}",1,"It comes at a time when authors are already worried about the consequences of the proposed merger between PRH and another big publisher, Simon & Schuster—the reduction in the number of unaligned UK publishers is likely to lead to fewer bidding wars, lower advances, and more conformity in terms of what is published."
concentration,1,"{""2023"": 1}",1,"This is all part of a wider change towards concentration of power, says literary agent Andrew Lownie."
agent,1,"{""2023"": 1}",1,"This is all part of a wider change towards concentration of power, says literary agent Andrew Lownie."
lownie,1,"{""2023"": 1}",1,"This is all part of a wider change towards concentration of power, says literary agent Andrew Lownie."
talks,1,"{""2023"": 1}",1,"The publishing industry talks about diversity in terms of authors and staff but it also needs a plurality of ways of delivering intellectual contact, choice and different voices."
voices,1,"{""2023"": 1}",1,"The publishing industry talks about diversity in terms of authors and staff but it also needs a plurality of ways of delivering intellectual contact, choice and different voices."
casualty,1,"{""2023"": 1}",1,We shall see whether that plurality is a casualty of the current need among publishers to be big enough to take on all-comers.
all-comers,1,"{""2023"": 1}",1,We shall see whether that plurality is a casualty of the current need among publishers to be big enough to take on all-comers.
ongoing,1,"{""2023"": 1}",0,
prevailing,1,"{""2023"": 1}",0,
sentiment,1,"{""2023"": 1}",0,
retire,1,"{""2023"": 1}",0,
noticeable,1,"{""2023"": 1}",0,
comply,1,"{""2023"": 1}",0,
systematic,1,"{""2023"": 1}",0,
slack,1,"{""2023"": 1}",0,
consequence,1,"{""2023"": 1}",0,
considerably,1,"{""2023"": 1}",0,
hesitate,1,"{""2023"": 1}",0,
branches,1,"{""2023"": 1}",0,
lownie's,1,"{""2023"": 1}",0,
stick,1,"{""2023"": 1}",0,
worrying,1,"{""2023"": 1}",0,
recordkeepers,1,"{""2023"": 1}",1,Scientific papers are the recordkeepers of progress in research.
title's,1,"{""2023"": 1}",0,
accumulates,1,"{""2023"": 1}",0,
depend,1,"{""2023"": 1}",1,"The careers of scientists and the reputation of their institutions depend on the number and prestige of the papers they produce, but even more so on the citations attracted by these papers."
attracted,1,"{""2023"": 1}",1,"The careers of scientists and the reputation of their institutions depend on the number and prestige of the papers they produce, but even more so on the citations attracted by these papers."
cartels,1,"{""2023"": 1}",1,"Citation cartels, where journals, authors, and institutions conspire to inflate citation numbers, have existed for a long time."
conspire,1,"{""2023"": 1}",1,"Citation cartels, where journals, authors, and institutions conspire to inflate citation numbers, have existed for a long time."
inflate,1,"{""2023"": 1}",1,"Citation cartels, where journals, authors, and institutions conspire to inflate citation numbers, have existed for a long time."
existed,1,"{""2023"": 1}",1,"Citation cartels, where journals, authors, and institutions conspire to inflate citation numbers, have existed for a long time."
disproportionately,1,"{""2023"": 1}",1,"In 2016, researchers developed an algorithm to recognize suspicious citation patterns, including groups of authors that disproportionately cite one another and groups of journals that cite each other frequently to increase the impact factors of their publications."
publications,1,"{""2023"": 1}",1,"In 2016, researchers developed an algorithm to recognize suspicious citation patterns, including groups of authors that disproportionately cite one another and groups of journals that cite each other frequently to increase the impact factors of their publications."
editorial,1,"{""2023"": 1}",1,"Recently, another expression of this predatory behavior has emerged: so-called support service consultancies that provide language and other editorial support to individual authors and to journals sometimes advise contributors to add a number of citations to their articles."
advent,1,"{""2023"": 1}",1,The advent of electronic publishing and authors' need to find outlets for their papers resulted in thousands of new journals.
electronic,1,"{""2023"": 1}",1,The advent of electronic publishing and authors' need to find outlets for their papers resulted in thousands of new journals.
cows,1,"{""2023"": 1}",1,These journals can act as milk cows where every single article in an issue may cite a specific paper or a series of papers.
instances,1,"{""2023"": 1}",1,"In some instances, there is absolutely no relationship between the content of the article and the citations."
supposedly,1,"{""2023"": 1}",1,The peculiar part is that the journal that the editor is supposedly working for is not profiting at all—it is just providing citations to other journals.
profiting,1,"{""2023"": 1}",1,The peculiar part is that the journal that the editor is supposedly working for is not profiting at all—it is just providing citations to other journals.
accrue,1,"{""2023"": 1}",1,Such practices can lead an article to accrue more than 150 citations in the same year that it was published.
insidious,1,"{""2023"": 1}",1,How insidious is this type of citation manipulation?
acting,1,"{""2023"": 1}",1,"In one example, an individual— acting as author, editor, and consultant—was able to use at least 15 journals as citation providers to articles published by five scientists at three universities."
consultant,1,"{""2023"": 1}",1,"In one example, an individual— acting as author, editor, and consultant—was able to use at least 15 journals as citation providers to articles published by five scientists at three universities."
rampant,1,"{""2023"": 1}",1,"The problem is rampant in Scopus, a citation database, which includes a high number of the new international journals."
listing,1,"{""2023"": 1}",1,"In fact, a listing in Scopus seems to be a criterion to be targeted in this type of citation manipulation."
criterion,1,"{""2023"": 1}",1,"In fact, a listing in Scopus seems to be a criterion to be targeted in this type of citation manipulation."
targeted,1,"{""2023"": 1}",1,"In fact, a listing in Scopus seems to be a criterion to be targeted in this type of citation manipulation."
detect,1,"{""2023"": 1}",1,Scopus itself has all the data necessary to detect this malpractice.
malpractice,1,"{""2023"": 1}",1,Scopus itself has all the data necessary to detect this malpractice.
red,1,"{""2023"": 1}",1,Red flags include a large number of citations to an article within the first year.
flags,1,"{""2023"": 1}",1,Red flags include a large number of citations to an article within the first year.
steer,1,"{""2023"": 1}",1,"And for authors who wish to steer clear of citation cartel activities: when an editor, a reviewer, or a support service asks you to add inappropriate references, do not oblige and do report the request to the journal."
cartel,1,"{""2023"": 1}",1,"And for authors who wish to steer clear of citation cartel activities: when an editor, a reviewer, or a support service asks you to add inappropriate references, do not oblige and do report the request to the journal."
reviewer,1,"{""2023"": 1}",1,"And for authors who wish to steer clear of citation cartel activities: when an editor, a reviewer, or a support service asks you to add inappropriate references, do not oblige and do report the request to the journal."
asks,1,"{""2023"": 1}",1,"And for authors who wish to steer clear of citation cartel activities: when an editor, a reviewer, or a support service asks you to add inappropriate references, do not oblige and do report the request to the journal."
inappropriate,1,"{""2023"": 1}",1,"And for authors who wish to steer clear of citation cartel activities: when an editor, a reviewer, or a support service asks you to add inappropriate references, do not oblige and do report the request to the journal."
references,1,"{""2023"": 1}",1,"And for authors who wish to steer clear of citation cartel activities: when an editor, a reviewer, or a support service asks you to add inappropriate references, do not oblige and do report the request to the journal."
oblige,1,"{""2023"": 1}",1,"And for authors who wish to steer clear of citation cartel activities: when an editor, a reviewer, or a support service asks you to add inappropriate references, do not oblige and do report the request to the journal."
request,1,"{""2023"": 1}",1,"And for authors who wish to steer clear of citation cartel activities: when an editor, a reviewer, or a support service asks you to add inappropriate references, do not oblige and do report the request to the journal."
circles,1,"{""2023"": 1}",1,how many times their papers are cited. the prestige of the people they work with. the status they have in scientific circles.
